horizon,h,facility_id,method,gamma,window_mult,PICP,MPIW,Winkler
y_t+30min,6,6,ACI,0.1,0.5,0.841897233201581,14.552804683860257,25.540588790922513
y_t+30min,6,6,ACI,0.1,1.0,0.849802371541502,15.57737028817912,26.322392282092025
y_t+30min,6,6,ACI,0.1,2.0,0.8438735177865613,15.529936222021473,26.554015241615925
y_t+30min,6,6,ACI,0.2,0.5,0.8073122529644269,14.86515236218626,27.693723252076868
y_t+30min,6,6,ACI,0.2,1.0,0.8063241106719368,16.67497891245943,30.55776241593021
y_t+30min,6,6,ACI,0.2,2.0,0.8023715415019763,16.660997816284578,30.32430924659254
y_t+30min,6,6,ACI,0.5,0.5,0.7401185770750988,15.354451206105939,30.42875055429502
y_t+30min,6,6,ACI,0.5,1.0,0.7470355731225297,19.195784643401744,34.23233597839583
y_t+30min,6,6,ACI,0.5,2.0,0.7341897233201581,20.23666178898717,36.41099242862423
y_t+30min,6,7,split-CP,,,0.775691699604743,61.90343386243381,153.61059742386044
y_t+30min,6,7,ACI,0.01,0.5,0.8982213438735178,102.98986326297633,141.58373305108208
y_t+30min,6,7,ACI,0.01,1.0,0.8972332015810277,101.87758641143071,143.72398431997925
y_t+30min,6,7,ACI,0.01,2.0,0.892292490118577,102.33503269213497,141.840316723739
y_t+30min,6,7,ACI,0.02,0.5,0.8913043478260869,103.45097783662753,142.2404799375573
y_t+30min,6,7,ACI,0.02,1.0,0.8893280632411067,101.20120991175274,140.91000780760217
y_t+30min,6,7,ACI,0.02,2.0,0.8843873517786561,99.99141947829689,141.85401340264667
y_t+30min,6,7,ACI,0.05,0.5,0.8725296442687747,97.58461011540237,145.5107690917089
y_t+30min,6,7,ACI,0.05,1.0,0.8685770750988142,98.31047560649236,147.35646714510753
y_t+30min,6,7,ACI,0.05,2.0,0.8567193675889329,95.52344421456425,151.07284396041854
y_t+30min,6,7,ACI,0.1,0.5,0.8369565217391305,93.20433161025876,150.55669385997268
y_t+30min,6,7,ACI,0.1,1.0,0.8320158102766798,94.12881758274514,144.29374181652716
y_t+30min,6,7,ACI,0.1,2.0,0.8181818181818182,93.58686783650667,147.0208103118475
y_t+30min,6,7,ACI,0.2,0.5,0.8053359683794467,90.01070313751046,145.41658627191669
y_t+30min,6,7,ACI,0.2,1.0,0.7924901185770751,92.11827654307092,155.59678644512175
y_t+30min,6,7,ACI,0.2,2.0,0.7806324110671937,90.75753463527693,161.73327214358247
y_t+30min,6,7,ACI,0.5,0.5,0.724308300395257,91.45621036928635,188.31996071545757
y_t+30min,6,7,ACI,0.5,1.0,0.7075098814229249,98.7211501053703,201.30432082276164
y_t+30min,6,7,ACI,0.5,2.0,0.6956521739130435,100.90245584058194,204.9501990680564
y_t+30min,6,8,split-CP,,,0.9881422924901185,109.38077777777782,119.50152295639867
y_t+30min,6,8,ACI,0.01,0.5,0.8893280632411067,54.92097570817621,78.74842248175457
y_t+30min,6,8,ACI,0.01,1.0,0.9071146245059288,59.6580757760556,86.34636763180914
y_t+30min,6,8,ACI,0.01,2.0,0.9357707509881423,65.23734842701386,90.88026643135453
y_t+30min,6,8,ACI,0.02,0.5,0.892292490118577,53.06971242225316,77.20355196626673
y_t+30min,6,8,ACI,0.02,1.0,0.8962450592885376,54.000063681537085,80.93247800101295
y_t+30min,6,8,ACI,0.02,2.0,0.9120553359683794,56.59118420456444,83.11977889887903
y_t+30min,6,8,ACI,0.05,0.5,0.8824110671936759,54.079956717138174,79.55910330945355
y_t+30min,6,8,ACI,0.05,1.0,0.8913043478260869,53.82768699229244,81.44992860687161
y_t+30min,6,8,ACI,0.05,2.0,0.892292490118577,52.14702493682818,78.64543204914366
y_t+30min,6,8,ACI,0.1,0.5,0.8725296442687747,48.7864379186893,77.76788671026365
y_t+30min,6,8,ACI,0.1,1.0,0.8725296442687747,54.54280945169993,81.06039038471386
y_t+30min,6,8,ACI,0.1,2.0,0.8814229249011858,57.250419120179934,84.29470226875111
y_t+30min,6,8,ACI,0.2,0.5,0.8211462450592886,56.07558016992882,85.28944878234861
y_t+30min,6,8,ACI,0.2,1.0,0.8330039525691699,67.51937598284249,97.14733484676036
y_t+30min,6,8,ACI,0.2,2.0,0.8369565217391305,68.6042304165737,98.01073304532622
y_t+30min,6,8,ACI,0.5,0.5,0.7272727272727273,58.597920903319995,111.38534461557383
y_t+30min,6,8,ACI,0.5,1.0,0.7381422924901185,72.08284451681799,114.3794381565212
y_t+30min,6,8,ACI,0.5,2.0,0.7371541501976284,71.80675400260205,121.30371568646916
y_t+30min,6,9,split-CP,,,0.7628458498023716,11.338864417989498,37.65697140552681
