horizon,h,facility_id,method,gamma,window_mult,PICP,MPIW,Winkler
y_t+60min,2,11,ACI,0.02,1.0,0.9037037037037037,99.65599375367431,150.29395260141092
y_t+60min,2,11,ACI,0.05,1.0,0.8962962962962963,103.91767398589063,157.6566592886537
y_t+60min,2,11,ACI,0.1,1.0,0.8888888888888888,122.25657495590826,167.58530085243973
y_t+90min,3,1,split-CP,,,0.8740740740740741,103.6161547619048,158.3286443268665
y_t+90min,3,1,ACI,0.002,1.0,0.8666666666666667,100.87621537731818,166.06589821094542
y_t+90min,3,1,ACI,0.005,1.0,0.8666666666666667,102.884119094383,169.21847594329537
y_t+90min,3,1,ACI,0.01,1.0,0.8666666666666667,105.44643779594892,170.50856022393245
y_t+90min,3,1,ACI,0.02,1.0,0.8740740740740741,109.4184363369141,171.08810725241838
y_t+90min,3,1,ACI,0.05,1.0,0.8814814814814815,122.80538533616588,186.96377819330874
y_t+90min,3,1,ACI,0.1,1.0,0.8518518518518519,108.27400679145958,195.46773283496333
y_t+90min,3,2,split-CP,,,0.7931034482758621,70.7581666666667,133.33335773996117
y_t+90min,3,2,ACI,0.002,1.0,0.8189655172413793,74.17159865900382,125.5011575483903
y_t+90min,3,2,ACI,0.005,1.0,0.8275862068965517,74.23005617287407,123.86402803434592
y_t+90min,3,2,ACI,0.01,1.0,0.8275862068965517,76.24874374284721,117.55815654388715
y_t+90min,3,2,ACI,0.02,1.0,0.8620689655172413,77.48308027162015,115.83811723298255
y_t+90min,3,2,ACI,0.05,1.0,0.8793103448275862,72.2107285897771,121.78705164172513
y_t+90min,3,2,ACI,0.1,1.0,0.8448275862068966,61.393374684343435,113.84944782336913
y_t+90min,3,3,split-CP,,,0.905511811023622,185.54111309523796,271.1646103143359
y_t+90min,3,3,ACI,0.002,1.0,0.8740157480314961,179.92409406636665,308.0786527152858
y_t+90min,3,3,ACI,0.005,1.0,0.8818897637795275,177.2875488688914,312.86508730158727
y_t+90min,3,3,ACI,0.01,1.0,0.8740157480314961,196.2664566304212,317.3683018685164
y_t+90min,3,3,ACI,0.02,1.0,0.8661417322834646,237.35533783277094,333.75065669916256
y_t+90min,3,3,ACI,0.05,1.0,0.8661417322834646,206.15555480564927,279.8266345144357
y_t+90min,3,3,ACI,0.1,1.0,0.8582677165354331,179.8798065554306,263.22874575053123
y_t+90min,3,4,split-CP,,,0.9333333333333333,78.68623809523808,95.17254512051731
y_t+90min,3,4,ACI,0.002,1.0,0.8592592592592593,68.58088373015875,98.6053342004703
y_t+90min,3,4,ACI,0.005,1.0,0.8666666666666667,67.74141594650207,99.3433593621399
y_t+90min,3,4,ACI,0.01,1.0,0.8740740740740741,69.03288458527071,98.4195445713751
y_t+90min,3,4,ACI,0.02,1.0,0.8888888888888888,69.80698684998127,99.24431554700445
y_t+90min,3,4,ACI,0.05,1.0,0.8888888888888888,78.19541716236438,97.15284550665385
y_t+90min,3,4,ACI,0.1,1.0,0.8518518518518519,78.82903675912564,107.6929182192293
y_t+90min,3,5,split-CP,,,0.9632352941176471,307.8118192640693,326.23226021507094
y_t+90min,3,5,ACI,0.002,1.0,0.9338235294117647,288.6205848864167,322.8178405310987
y_t+90min,3,5,ACI,0.005,1.0,0.9338235294117647,283.3672358909473,320.8225291332442
y_t+90min,3,5,ACI,0.01,1.0,0.9191176470588235,284.57787817778626,324.0017785921186
y_t+90min,3,5,ACI,0.02,1.0,0.9117647058823529,286.58636036971603,326.7662091198221
y_t+90min,3,5,ACI,0.05,1.0,0.9117647058823529,285.556439511979,334.65802259597024
y_t+90min,3,5,ACI,0.1,1.0,0.9117647058823529,277.34900276133186,351.7055057507852
y_t+90min,3,6,split-CP,,,0.9044117647058824,273.39904166666656,382.2979645483192
y_t+90min,3,6,ACI,0.002,1.0,0.8897058823529411,264.6202666316526,394.99058350840323
y_t+90min,3,6,ACI,0.005,1.0,0.8897058823529411,262.8275235615079,395.5113152865312
y_t+90min,3,6,ACI,0.01,1.0,0.8823529411764706,261.3357062470821,398.79148355800646
y_t+90min,3,6,ACI,0.02,1.0,0.8676470588235294,282.65546114904294,402.9366272613211
y_t+90min,3,6,ACI,0.05,1.0,0.8823529411764706,284.01382235564677,377.6248200160745
y_t+90min,3,6,ACI,0.1,1.0,0.8676470588235294,282.5289706757702,357.1700229394787
y_t+90min,3,7,split-CP,,,0.8161764705882353,98.70839880952383,179.51407858624214
y_t+90min,3,7,ACI,0.002,1.0,0.8455882352941176,118.88903100422864,169.31229879852586
y_t+90min,3,7,ACI,0.005,1.0,0.8602941176470589,120.83870631666126,168.08443950096066
y_t+90min,3,7,ACI,0.01,1.0,0.8602941176470589,126.83677165481579,166.97367747162968
y_t+90min,3,7,ACI,0.02,1.0,0.875,125.92952639466336,171.11238738477616
y_t+90min,3,7,ACI,0.05,1.0,0.875,116.14190179642662,171.6874473527902
y_t+90min,3,7,ACI,0.1,1.0,0.8602941176470589,115.8596982808858,171.5763814873851
y_t+90min,3,9,split-CP,,,0.9481481481481482,55.558374999999955,70.69411682299179
y_t+90min,3,9,ACI,0.002,1.0,0.8814814814814815,47.39729870366259,73.23458648172816
y_t+90min,3,9,ACI,0.005,1.0,0.8740740740740741,46.38143227780449,73.09042221687776
y_t+90min,3,9,ACI,0.01,1.0,0.8666666666666667,46.07329940614942,73.4201611925112
y_t+90min,3,9,ACI,0.02,1.0,0.8666666666666667,49.31776265997377,75.0766495775829
y_t+90min,3,9,ACI,0.05,1.0,0.8666666666666667,49.49355655486489,69.90463956753125
y_t+90min,3,9,ACI,0.1,1.0,0.8592592592592593,51.606635511916075,79.64823480459869
y_t+90min,3,10,split-CP,,,0.9777777777777777,29.397750000000034,30.263364344503255
y_t+90min,3,10,ACI,0.002,1.0,0.9481481481481482,27.28499885361553,28.86820430762653
y_t+90min,3,10,ACI,0.005,1.0,0.9407407407407408,26.411758318636107,28.431636906098024
y_t+90min,3,10,ACI,0.01,1.0,0.9185185185185185,26.264734009406236,28.49876030409919
