facility_id,dynamic,partition,cell,method,PICP,MPIW,n_cell,cramers_v_vs_tod,degenerate
3,True,day_of_week,Sat,ToD-ACI,0.904,20.92376078090428,250,0.1528295627562024,False
3,True,day_of_week,Sun,ToD-ACI,0.912,15.865121679172676,250,0.1528295627562024,False
3,True,day_of_week,Mon,ToD-ACI,0.8645833333333334,13.141600510728978,288,0.1528295627562024,False
3,True,day_of_week,Tue,ToD-ACI,0.9118942731277533,16.25664013444134,227,0.1528295627562024,False
3,True,occupancy_tercile,high,split-CP,0.9792843691148776,17.303497354497356,531,0.6081639771169904,False
3,True,occupancy_tercile,mid,split-CP,0.7906976744186046,17.30349735449735,172,0.6081639771169904,False
3,True,occupancy_tercile,low,split-CP,0.8269230769230769,14.478433019052408,312,0.6081639771169904,False
3,True,occupancy_tercile,high,Mondrian-split-CP,0.9472693032015066,13.641115019579706,531,0.6081639771169904,False
3,True,occupancy_tercile,mid,Mondrian-split-CP,0.8313953488372093,18.926146363971956,172,0.6081639771169904,False
3,True,occupancy_tercile,low,Mondrian-split-CP,0.842948717948718,15.699089389880656,312,0.6081639771169904,False
3,True,occupancy_tercile,high,ACI,0.9472693032015066,13.22996796591147,531,0.6081639771169904,False
3,True,occupancy_tercile,mid,ACI,0.7616279069767442,22.033433428274996,172,0.6081639771169904,False
3,True,occupancy_tercile,low,ACI,0.8685897435897436,19.524203483348913,312,0.6081639771169904,False
3,True,occupancy_tercile,high,ToD-ACI,0.9209039548022598,12.166416232543348,531,0.6081639771169904,False
3,True,occupancy_tercile,mid,ToD-ACI,0.8197674418604651,23.109344694173185,172,0.6081639771169904,False
3,True,occupancy_tercile,low,ToD-ACI,0.8974358974358975,19.99065565945213,312,0.6081639771169904,False
3,True,random_5,r0,split-CP,0.9018691588785047,16.566368188167832,214,0.06121431335981023,False
3,True,random_5,r3,split-CP,0.9004739336492891,16.456452073203256,211,0.06121431335981023,False
3,True,random_5,r2,split-CP,0.90625,16.211246128520123,224,0.06121431335981023,False
3,True,random_5,r4,split-CP,0.925,16.600475468975468,200,0.06121431335981023,False
3,True,random_5,r1,split-CP,0.8614457831325302,16.341574312401114,166,0.06121431335981023,False
3,True,random_5,r0,Mondrian-split-CP,0.9018691588785047,14.922338104846869,214,0.06121431335981023,False
3,True,random_5,r3,Mondrian-split-CP,0.9146919431279621,15.750415879341832,211,0.06121431335981023,False
3,True,random_5,r2,Mondrian-split-CP,0.8973214285714286,15.034792767314531,224,0.06121431335981023,False
3,True,random_5,r4,Mondrian-split-CP,0.91,15.157279185906686,200,0.06121431335981023,False
3,True,random_5,r1,Mondrian-split-CP,0.8433734939759037,14.945045889184444,166,0.06121431335981023,False
3,True,random_5,r0,ACI,0.883177570093458,16.604493673944607,214,0.06121431335981023,False
3,True,random_5,r3,ACI,0.8720379146919431,17.386660020995325,211,0.06121431335981023,False
3,True,random_5,r2,ACI,0.9151785714285714,16.84711030520406,224,0.06121431335981023,False
3,True,random_5,r4,ACI,0.905,15.57881224206349,200,0.06121431335981023,False
3,True,random_5,r1,ACI,0.8795180722891566,16.837066017678215,166,0.06121431335981023,False
3,True,random_5,r0,ToD-ACI,0.8925233644859814,16.46185613590286,214,0.06121431335981023,False
3,True,random_5,r3,ToD-ACI,0.9052132701421801,16.987302593470247,211,0.06121431335981023,False
3,True,random_5,r2,ToD-ACI,0.9151785714285714,16.658037615080023,224,0.06121431335981023,False
3,True,random_5,r4,ToD-ACI,0.9,15.99023857263107,200,0.06121431335981023,False
3,True,random_5,r1,ToD-ACI,0.8614457831325302,15.877425735046968,166,0.06121431335981023,False
4,True,time_of_day,night,split-CP,0.9789473684210527,28.517990740740746,285,1.0,False
4,True,time_of_day,am_rush,split-CP,0.96875,28.517990740740743,192,1.0,False
4,True,time_of_day,midday,split-CP,0.94,23.12410388119288,250,1.0,False
4,True,time_of_day,pm_rush,split-CP,0.9122807017543859,28.517990740740746,171,1.0,False
4,True,time_of_day,evening,split-CP,1.0,28.517990740740753,117,1.0,False
4,True,time_of_day,night,Mondrian-split-CP,0.8912280701754386,11.71875132275136,285,1.0,False
4,True,time_of_day,am_rush,Mondrian-split-CP,0.921875,20.425261904761896,192,1.0,False
4,True,time_of_day,midday,Mondrian-split-CP,0.904,17.797975830928344,250,1.0,False
4,True,time_of_day,pm_rush,Mondrian-split-CP,0.9590643274853801,47.622134920634934,171,1.0,False
4,True,time_of_day,evening,Mondrian-split-CP,1.0,30.5469246031746,117,1.0,False
4,True,time_of_day,night,ACI,0.9649122807017544,17.972267334582245,285,1.0,False
4,True,time_of_day,am_rush,ACI,0.8645833333333334,16.28019837637285,192,1.0,False
4,True,time_of_day,midday,ACI,0.84,16.45049714213564,250,1.0,False
4,True,time_of_day,pm_rush,ACI,0.8421052631578947,28.669359414951522,171,1.0,False
4,True,time_of_day,evening,ACI,0.9829059829059829,22.74133030344142,117,1.0,False
4,True,time_of_day,night,ToD-ACI,0.9122807017543859,16.236753742521277,285,1.0,False
4,True,time_of_day,am_rush,ToD-ACI,0.875,21.543353835978838,192,1.0,False
4,True,time_of_day,midday,ToD-ACI,0.896,20.92071895262145,250,1.0,False
4,True,time_of_day,pm_rush,ToD-ACI,0.8947368421052632,34.65352118722733,171,1.0,False
4,True,time_of_day,evening,ToD-ACI,0.9230769230769231,18.678825713381265,117,1.0,False
4,True,day_of_week,Sat,split-CP,0.94,28.517990740740746,250,0.1528295627562024,False
4,True,day_of_week,Sun,split-CP,0.988,28.517990740740746,250,0.1528295627562024,False
4,True,day_of_week,Mon,split-CP,0.9618055555555556,26.450933692705828,288,0.1528295627562024,False
4,True,day_of_week,Tue,split-CP,0.9427312775330396,25.200108427732328,227,0.1528295627562024,False
4,True,day_of_week,Sat,Mondrian-split-CP,0.896,23.6462212857143,250,0.1528295627562024,False
4,True,day_of_week,Sun,Mondrian-split-CP,0.928,25.282335386243407,250,0.1528295627562024,False
4,True,day_of_week,Mon,Mondrian-split-CP,0.9479166666666666,23.252509238800048,288,0.1528295627562024,False
4,True,day_of_week,Tue,Mondrian-split-CP,0.920704845814978,19.82159379588841,227,0.1528295627562024,False
4,True,day_of_week,Sat,ACI,0.9,25.52180626455026,250,0.1528295627562024,False
4,True,day_of_week,Sun,ACI,0.924,18.16035245214045,250,0.1528295627562024,False
4,True,day_of_week,Mon,ACI,0.8819444444444444,19.38741179799817,288,0.1528295627562024,False
4,True,day_of_week,Tue,ACI,0.8810572687224669,15.064318910205474,227,0.1528295627562024,False
4,True,day_of_week,Sat,ToD-ACI,0.888,25.868483646464643,250,0.1528295627562024,False
4,True,day_of_week,Sun,ToD-ACI,0.96,26.29643924771524,250,0.1528295627562024,False
4,True,day_of_week,Mon,ToD-ACI,0.8611111111111112,17.14434612055575,288,0.1528295627562024,False
4,True,day_of_week,Tue,ToD-ACI,0.8942731277533039,18.177756900873643,227,0.1528295627562024,False
4,True,occupancy_tercile,mid,split-CP,0.9826086956521739,28.51799074074075,230,0.6114520264442109,False
4,True,occupancy_tercile,high,split-CP,0.9817444219066938,28.517990740740743,493,0.6114520264442109,False
4,True,occupancy_tercile,low,split-CP,0.9006849315068494,23.899936922634698,292,0.6114520264442109,False
4,True,occupancy_tercile,mid,Mondrian-split-CP,0.908695652173913,28.255561105360034,230,0.6114520264442109,False
4,True,occupancy_tercile,high,Mondrian-split-CP,0.9513184584178499,18.622487727658132,493,0.6114520264442109,False
4,True,occupancy_tercile,low,Mondrian-split-CP,0.8904109589041096,26.536637385144665,292,0.6114520264442109,False
4,True,occupancy_tercile,mid,ACI,0.8956521739130435,24.566971694690178,230,0.6114520264442109,False
4,True,occupancy_tercile,high,ACI,0.9371196754563894,17.103132677836022,493,0.6114520264442109,False
4,True,occupancy_tercile,low,ACI,0.8287671232876712,20.005023183770184,292,0.6114520264442109,False
4,True,occupancy_tercile,mid,ToD-ACI,0.8869565217391304,27.08495381140599,230,0.6114520264442109,False
4,True,occupancy_tercile,high,ToD-ACI,0.9290060851926978,18.121827966226544,493,0.6114520264442109,False
4,True,occupancy_tercile,low,ToD-ACI,0.8595890410958904,23.772440612295494,292,0.6114520264442109,False
4,True,random_5,r0,split-CP,0.9485981308411215,27.755080820723936,214,0.06121431335981023,False
4,True,random_5,r3,split-CP,0.9715639810426541,27.178929356758744,211,0.06121431335981023,False
4,True,random_5,r2,split-CP,0.9464285714285714,26.734130213701643,224,0.06121431335981023,False
4,True,random_5,r4,split-CP,0.985,27.386298892195768,200,0.06121431335981023,False
4,True,random_5,r1,split-CP,0.9397590361445783,26.850858739431036,166,0.06121431335981023,False
4,True,random_5,r0,Mondrian-split-CP,0.897196261682243,22.661035358873576,214,0.06121431335981023,False
4,True,random_5,r3,Mondrian-split-CP,0.9383886255924171,24.279184566267514,211,0.06121431335981023,False
4,True,random_5,r2,Mondrian-split-CP,0.90625,23.379887946482263,224,0.06121431335981023,False
4,True,random_5,r4,Mondrian-split-CP,0.96,22.216638961640225,200,0.06121431335981023,False
4,True,random_5,r1,Mondrian-split-CP,0.9216867469879518,22.744406131379787,166,0.06121431335981023,False
4,True,random_5,r0,ACI,0.9018691588785047,18.94467448798172,214,0.06121431335981023,False
4,True,random_5,r3,ACI,0.8909952606635071,21.65128203041473,211,0.06121431335981023,False
4,True,random_5,r2,ACI,0.9017857142857143,19.3051062350761,224,0.06121431335981023,False
4,True,random_5,r4,ACI,0.91,18.643613121693125,200,0.06121431335981023,False
4,True,random_5,r1,ACI,0.8734939759036144,19.56667108296099,166,0.06121431335981023,False
