req,policy,assigned,dist,overflow
59,INTERVAL,23,0.36749757748241113,0
60,INTERVAL,22,5.1649112358264135,0
61,INTERVAL,19,0.8223271231946372,0
62,INTERVAL,16,0.3486230177200499,0
63,INTERVAL,9,0.5609501874509514,0
64,INTERVAL,18,1.397306718460904,0
65,INTERVAL,9,0.48147919151433444,0
66,INTERVAL,12,5.463230163494491,0
67,INTERVAL,12,3.775045377239173,0
68,INTERVAL,19,0.6318332864843244,0
69,INTERVAL,9,2.2165620649015962,0
70,INTERVAL,7,3.169859986812152,0
71,INTERVAL,19,0.34757594187269186,0
72,INTERVAL,9,0.5033877822067142,0
73,INTERVAL,16,0.26804729081673123,0
74,INTERVAL,9,0.37207826660423515,0
75,INTERVAL,23,0.7004851783757872,0
76,INTERVAL,7,2.574835549715256,0
77,INTERVAL,23,0.3953998515364492,0
78,INTERVAL,23,0.7065835234735757,0
79,INTERVAL,13,1.4592361407933874,0
80,INTERVAL,9,0.41375102735215835,0
81,INTERVAL,22,2.2072224290498546,0
82,INTERVAL,5,0.6560022385635611,0
83,INTERVAL,4,0.6911065439446326,0
84,INTERVAL,9,0.17131588882105658,0
85,INTERVAL,22,1.9742654019984487,0
86,INTERVAL,7,6.795262658858858,0
87,INTERVAL,6,1.157568434837438,0
88,INTERVAL,19,1.0480873930470798,0
89,INTERVAL,22,1.7565275940361862,0
90,INTERVAL,19,0.25995958812719516,0
91,INTERVAL,19,0.5720877042023851,0
92,INTERVAL,23,0.3768134356835135,0
93,INTERVAL,22,2.428180034891272,0
94,INTERVAL,8,0.6861305655666008,0
95,INTERVAL,23,0.23987783693767645,0
96,INTERVAL,9,5.309123408493334,0
97,INTERVAL,23,0.11951081922674311,0
98,INTERVAL,23,0.31068875999609125,0
99,INTERVAL,20,0.32079439031743784,0
100,INTERVAL,9,0.1681105016042107,0
101,INTERVAL,17,1.0486838716721,0
102,INTERVAL,7,3.4425496186373525,0
103,INTERVAL,19,0.7155750758305925,0
104,INTERVAL,18,2.1257790067964493,0
105,INTERVAL,22,2.862687180987281,0
106,INTERVAL,23,0.6827197951489189,0
107,INTERVAL,7,4.660971187392732,0
108,INTERVAL,19,0.32860820721581185,0
109,INTERVAL,15,0.4480911365559546,0
110,INTERVAL,12,1.1336310260913376,0
111,INTERVAL,23,1.7177177372966317,0
112,INTERVAL,19,0.39316275421966546,0
113,INTERVAL,23,0.8226769359354464,0
114,INTERVAL,19,0.6310844244487285,0
115,INTERVAL,9,0.12407921655604377,0
116,INTERVAL,19,1.0393359473750363,0
117,INTERVAL,18,2.734881489104652,0
118,INTERVAL,20,0.347444880529452,0
119,INTERVAL,19,1.209135171758537,0
120,INTERVAL,14,1.2065122155667634,0
121,INTERVAL,9,0.23198602564563067,0
