fold,facility_id,method,PICP,MPIW,Winkler,n_test
F2,11,ACI,0.9079136690647482,8.439587288091603,13.753511667203032,695
F2,11,CQR,0.883453237410072,5.410911178083749,11.435253262227116,695
F2,11,ACQR,0.9007194244604316,9.570937237768467,13.684238860511744,695
F2,12,split-CP,0.8474820143884892,14.186325396825396,28.698538935085697,695
F2,12,ACI,0.8992805755395683,20.51124818119531,26.090505540675682,695
F2,12,CQR,0.8877697841726618,12.561557393460744,18.902391587475957,695
F2,12,ACQR,0.9007194244604316,17.848558739114274,21.915483835086015,695
F2,13,split-CP,0.902158273381295,21.18705158730154,31.8480321361958,695
F2,13,ACI,0.902158273381295,22.089142042037356,28.291590978126578,695
F2,13,CQR,0.8719424460431655,13.245996736187289,27.815813501855185,695
F2,13,ACQR,0.9035971223021583,23.37259532338347,28.20161407363313,695
F2,14,split-CP,0.7553956834532374,16.923186636405173,45.532677864202135,695
F2,14,ACI,0.8992805755395683,30.2660228686315,37.19220955045487,695
F2,14,CQR,0.8057553956834532,19.11790534627527,38.4819197007502,695
F2,14,ACQR,0.897841726618705,32.47270050691527,39.19348985182406,695
F2,15,split-CP,0.8129496402877698,8.442963307276255,19.024238531252923,695
F2,15,ACI,0.9035971223021583,13.836737182721356,18.357187968413147,695
F2,15,CQR,0.8474820143884892,7.7361714658756995,15.080173210998696,695
F2,15,ACQR,0.9035971223021583,12.15173853996509,15.644020813857463,695
F2,16,split-CP,0.8848920863309353,5.967897203535872,10.173824264484518,695
F2,16,ACI,0.897841726618705,7.308155915181274,11.048204927054028,695
F2,16,CQR,0.9064748201438849,5.285717740687036,9.214384851259542,695
F2,16,ACQR,0.9007194244604316,6.742385650344731,10.004251005767895,695
F2,17,split-CP,0.9294964028776979,10.737180237109014,12.991261235513752,695
F2,17,ACI,0.897841726618705,10.67164427756496,14.319544495918414,695
F2,17,CQR,0.8964028776978418,7.716820690768919,10.906368391621792,695
F2,17,ACQR,0.897841726618705,9.914751986715885,12.649287406524662,695
F2,18,split-CP,0.8892086330935252,9.450515873015874,15.305242586882878,695
F2,18,ACI,0.9050359712230216,10.783921682048302,14.318403492271122,695
F2,18,CQR,0.9223021582733812,8.502448532552247,12.116651785200371,695
F2,18,ACQR,0.9035971223021583,9.14962287259188,11.936553869846064,695
F2,19,split-CP,0.9223021582733812,12.384863704188163,16.071129643817414,695
F2,19,ACI,0.9007194244604316,12.518878067555946,16.243905503482665,695
F2,19,CQR,0.8992805755395683,10.34133111042483,14.50981479251158,695
