policy,seed,n_requests,n_assigned,assigned_rate,overflow_rate,unserved_or_overflow_rate,mean_straight_line_km,p90_straight_line_km,window,n_base,n_slots,excluded,margin_m,anchor,distinct_min,distinct_next
MARGIN,15,600,600,1.0,0.0,0.0,1.376882444883538,3.4572584996833484,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
POINT,16,600,600,1.0,0.0,0.0,1.2237695907476802,3.3910934696278363,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,16,600,600,1.0,0.0,0.0,1.2921784362877948,3.481412775367642,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
MARGIN,16,600,600,1.0,0.0,0.0,1.567973800393479,3.6673341209194175,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
POINT,17,600,600,1.0,0.0,0.0,1.1251740704374595,3.321286373510759,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,17,600,600,1.0,0.0,0.0,1.200018399973762,3.393898744051759,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
MARGIN,17,600,600,1.0,0.0,0.0,1.4767952488181468,3.6172554479887107,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
POINT,18,600,600,1.0,0.0,0.0,1.1241665345464495,3.2735022341306528,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,18,600,600,1.0,0.0,0.0,1.190595657832752,3.3191863978072407,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
MARGIN,18,600,600,1.0,0.0,0.0,1.4282316880564738,3.440825108268817,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
POINT,19,600,600,1.0,0.0,0.0,1.1974782370507198,3.459833508607637,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,19,600,600,1.0,0.0,0.0,1.242212625682875,3.4927960919559053,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
MARGIN,19,600,600,1.0,0.0,0.0,1.554736079563503,3.8760583694490776,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
POINT,20,600,600,1.0,0.0,0.0,1.136301672651949,3.3436925769393158,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,20,600,600,1.0,0.0,0.0,1.231573700740543,3.5326151511122634,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
MARGIN,20,600,600,1.0,0.0,0.0,1.4497836657507228,3.5119765508694054,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
