facility_id,dynamic,base,level,method,PICP,MPIW,Winkler,MAE,gamma,gamma_calB_picp,n_cal_b,degenerate,cal_score_max,n_test,n_cal
7,True,GradBoost,0.9,split-CP,0.7862068965517242,44.49520161499612,99.6104720556324,13.386155662337003,,,,False,67.25031443069497,1015,760
7,True,GradBoost,0.9,ACI,0.896551724137931,62.83626984850307,87.76657112299021,13.386155662337003,0.02,0.8947368421052632,380.0,False,67.25031443069497,1015,760
7,True,GradBoost,0.95,split-CP,0.8768472906403941,59.435264414919516,120.0310918682142,13.386155662337003,,,,False,67.25031443069497,1015,760
7,True,GradBoost,0.95,ACI,0.948768472906404,83.2610659133005,110.2169740909199,13.386155662337003,0.01,0.9473684210526315,380.0,False,67.25031443069497,1015,760
7,True,Ridge(linear),0.9,split-CP,0.8827586206896552,59.08571673157303,90.62986902866395,14.165486294144767,,,,False,63.52828135134229,1015,760
7,True,Ridge(linear),0.9,ACI,0.8975369458128079,62.75366681529429,91.48608247741794,14.165486294144767,0.002,0.8921052631578947,380.0,False,63.52828135134229,1015,760
7,True,Ridge(linear),0.95,split-CP,0.9201970443349754,70.74931694934844,111.39867156664769,14.165486294144767,,,,False,63.52828135134229,1015,760
7,True,Ridge(linear),0.95,ACI,0.9467980295566503,81.49388478114203,111.08991483602269,14.165486294144767,0.002,0.95,380.0,False,63.52828135134229,1015,760
8,True,RandomForest,0.9,split-CP,0.8660098522167488,56.776428312091134,87.73966343602577,10.61688631766883,,,,False,49.9036388888889,1015,760
8,True,RandomForest,0.9,ACI,0.9280788177339901,45.501161399119034,61.74701146558241,10.61688631766883,0.005,0.9026315789473685,380.0,False,49.9036388888889,1015,760
8,True,RandomForest,0.95,split-CP,0.994088669950739,79.32239804910472,92.84747345244611,10.61688631766883,,,,False,49.9036388888889,1015,760
8,True,RandomForest,0.95,ACI,0.9655172413793104,57.3170780221284,80.44179355891782,10.61688631766883,0.005,0.9473684210526315,380.0,False,49.9036388888889,1015,760
8,True,GradBoost,0.9,split-CP,0.8561576354679803,41.955631822283166,79.12429736041179,9.34412574060351,,,,False,41.50524727654683,1015,760
8,True,GradBoost,0.9,ACI,0.8945812807881773,23.49258705594154,39.35744580699078,9.34412574060351,0.05,0.9078947368421053,380.0,False,41.50524727654683,1015,760
8,True,GradBoost,0.95,split-CP,0.9310344827586207,56.63841571597979,84.82171144377388,9.34412574060351,,,,False,41.50524727654683,1015,760
8,True,GradBoost,0.95,ACI,0.9665024630541872,53.67238027875644,78.49659585594209,9.34412574060351,0.005,0.95,380.0,False,41.50524727654683,1015,760
8,True,Ridge(linear),0.9,split-CP,0.43645320197044335,7.79608961032549,50.233890813463,5.507862942119922,,,,False,42.97045905525492,1015,760
8,True,Ridge(linear),0.9,ACI,0.8423645320197044,26.566029092064053,42.317755342860984,5.507862942119922,0.1,0.8973684210526316,380.0,False,42.97045905525492,1015,760
8,True,Ridge(linear),0.95,split-CP,0.774384236453202,12.697690483904289,44.62841164038017,5.507862942119922,,,,False,42.97045905525492,1015,760
8,True,Ridge(linear),0.95,ACI,0.9024630541871921,23.15537797879383,52.58020960759113,5.507862942119922,0.1,0.9526315789473684,380.0,False,42.97045905525492,1015,760
