facility_id,dynamic,horizon,model,MAE,RMSE,n_test
14,True,y_t+30min,RF-delta,9.193299324971084,12.126122575566775,1012
14,True,y_t+30min,persistence,13.187529715873287,18.099309456396764,1012
14,True,y_t+30min,RF-absolute,11.780121177997597,15.402899804002285,1012
15,True,y_t+5min,RF-delta,1.1247943826130893,1.765090222733959,1017
15,True,y_t+5min,persistence,1.045886594559161,1.819777961130428,1017
15,True,y_t+5min,RF-absolute,2.013564029700954,3.035919546549854,1017
15,True,y_t+15min,RF-delta,2.430262626813982,3.796239897979392,1015
15,True,y_t+15min,persistence,2.546469622331692,4.262924261839334,1015
15,True,y_t+15min,RF-absolute,3.1585289915931534,4.93855168641339,1015
15,True,y_t+30min,RF-delta,4.015018943136366,6.256726824076141,1012
15,True,y_t+30min,persistence,4.593795110843787,7.562420205615055,1012
15,True,y_t+30min,RF-absolute,4.983043542407387,7.875082663641485,1012
16,True,y_t+5min,RF-delta,0.6985266514822808,1.0406604956076544,1017
16,True,y_t+5min,persistence,0.6524090462143559,1.075676366765441,1017
16,True,y_t+5min,RF-absolute,1.283930858604777,1.8915749847849617,1017
16,True,y_t+15min,RF-delta,1.492233496885344,2.158369174662193,1015
16,True,y_t+15min,persistence,1.4737274220032843,2.378054887197593,1015
16,True,y_t+15min,RF-absolute,2.1036438344860757,3.107443443883362,1015
16,True,y_t+30min,RF-delta,2.305674293776272,3.29998806760114,1012
16,True,y_t+30min,persistence,2.550108480838632,3.995645693222042,1012
16,True,y_t+30min,RF-absolute,3.2462888860593075,4.714504548251217,1012
17,True,y_t+5min,RF-delta,0.9315095608896002,1.409912441709911,1017
17,True,y_t+5min,persistence,0.9019993444772206,1.4983876399322718,1017
17,True,y_t+5min,RF-absolute,1.6596008865447172,2.416672503676052,1017
17,True,y_t+15min,RF-delta,2.0148879693605064,2.899905704620533,1015
17,True,y_t+15min,persistence,2.0691297208538586,3.3408249147644824,1015
17,True,y_t+15min,RF-absolute,2.5268635269537976,3.545663453608549,1015
17,True,y_t+30min,RF-delta,3.1660396547179426,4.526120491852957,1012
17,True,y_t+30min,persistence,3.4937252964426877,5.556431982362037,1012
17,True,y_t+30min,RF-absolute,3.4571605945464863,4.932401302974412,1012
18,True,y_t+5min,RF-delta,0.7925679135906519,1.327171142968607,1017
18,True,y_t+5min,persistence,0.7740085217961323,1.3086768896764605,1017
18,True,y_t+5min,RF-absolute,1.4906390446701403,2.398110194976353,1017
18,True,y_t+15min,RF-delta,1.6365514505837166,2.574269271062793,1015
18,True,y_t+15min,persistence,1.8169129720853865,2.9396455818156992,1015
18,True,y_t+15min,RF-absolute,2.219862672585579,3.421572297526104,1015
18,True,y_t+30min,RF-delta,2.4483750362784025,3.875909587363955,1012
18,True,y_t+30min,persistence,3.060573838574784,5.010589058461423,1012
18,True,y_t+30min,RF-absolute,2.852569736537664,4.237303616934406,1012
19,True,y_t+5min,RF-delta,1.1875292047576953,1.7363501206218497,1017
19,True,y_t+5min,persistence,1.2043592264831204,1.854824719622378,1017
19,True,y_t+5min,RF-absolute,2.007562980616202,2.841526688136858,1017
19,True,y_t+15min,RF-delta,2.3691490545852614,3.4359231968254065,1015
19,True,y_t+15min,persistence,2.73136288998358,4.1088101373012735,1015
19,True,y_t+15min,RF-absolute,3.0683629043097023,4.315584187081539,1015
19,True,y_t+30min,RF-delta,3.3751730540979765,4.7238558610142025,1012
19,True,y_t+30min,persistence,4.653461720226843,6.828889317607424,1012
