dataset,facility_id,method,in_published_base,PICP_before,PICP_after,dPICP,MPIW_before,MPIW_after,Winkler_before,Winkler_after,rel_dWinkler
birmingham,10,NGBoost-conformal,True,0.9629629629629628,0.9629629629629628,0.0,23.764819711688748,23.85117142247113,25.53766944511681,25.25696113426977,0.010991931407457195
birmingham,11,NGBoost,True,0.4888888888888889,0.4888888888888889,0.0,33.89308356189983,34.00086546465992,235.2042232295623,235.63664244963783,0.001835110259508772
birmingham,11,NGBoost-conformal,True,0.8740740740740741,0.8814814814814815,0.007407407407407418,97.87134739008772,99.53960847483654,133.2727956390037,133.0864165582928,0.001398478060111775
birmingham,12,NGBoost,True,0.237037037037037,0.2222222222222222,-0.01481481481481478,16.666730077212346,16.699136725160812,433.6550515339921,433.6932240494149,8.80173203223419e-05
birmingham,12,NGBoost-conformal,True,0.9111111111111112,0.9111111111111112,0.0,131.0867184805065,130.92430611888292,165.173390370993,164.4479207129542,0.004392170290924827
birmingham,13,NGBoost,True,0.3303571428571428,0.3214285714285714,-0.008928571428571397,14.18257630943423,14.236007068671046,250.9399006736796,249.5062139455231,0.005713267297498742
birmingham,13,NGBoost-conformal,True,0.9107142857142856,0.9196428571428572,0.008928571428571619,88.46391483181844,89.80191757183879,104.20607052976688,103.91872286573096,0.002757494477769777
birmingham,14,NGBoost,True,0.4782608695652174,0.4695652173913043,-0.008695652173913104,10.881251958287384,10.859673207105669,112.11155442017645,111.42774681887845,0.006099349927262595
birmingham,14,NGBoost-conformal,True,0.8869565217391304,0.8869565217391304,0.0,40.97389815981646,40.94069823031776,64.69201817767878,64.58961766141749,0.0015828925908608594
birmingham,15,NGBoost,True,0.3795620437956204,0.3795620437956204,0.0,13.730147377149711,13.70568844680224,150.95402398380676,151.26179871761892,0.002034715548945162
birmingham,15,NGBoost-conformal,True,0.8175182481751825,0.8175182481751825,0.0,41.10133387116401,41.07687494081654,78.37379422268185,78.30521377425444,0.0008750431072987903
