facility_id,dynamic,bucket,method,PICP,MPIW,n_cell,n_own,n_init,fell_back,gamma,degenerate
12,True,pm_rush,split-CP,0.5614035087719298,13.802138888888921,171,144,144,False,0.02,False
12,True,evening,split-CP,0.9145299145299145,13.802138888888921,117,141,141,False,0.02,False
12,True,night,Mondrian-split-CP,0.9368421052631579,2.9420370370370392,285,177,177,False,0.02,False
12,True,am_rush,Mondrian-split-CP,0.859375,7.018309523809535,192,96,96,False,0.02,False
12,True,midday,Mondrian-split-CP,0.704,13.885638888888876,250,202,202,False,0.02,False
12,True,pm_rush,Mondrian-split-CP,0.7660818713450293,22.232444444444464,171,144,144,False,0.02,False
12,True,evening,Mondrian-split-CP,0.9145299145299145,13.802138888888921,117,141,141,False,0.02,False
12,True,night,ACI,1.0,12.376422363146926,285,177,177,False,0.02,False
12,True,am_rush,ACI,0.8697916666666666,8.376701286897898,192,96,96,False,0.02,False
12,True,midday,ACI,0.756,17.302803097458096,250,202,202,False,0.02,False
12,True,pm_rush,ACI,0.8245614035087719,26.26085125801208,171,144,144,False,0.02,False
12,True,evening,ACI,0.9743589743589743,21.673067123759427,117,141,141,False,0.02,False
12,True,night,ToD-ACI,0.9157894736842105,2.3873975798080975,285,177,177,False,0.02,False
12,True,am_rush,ToD-ACI,0.9166666666666666,12.52221934937169,192,96,96,False,0.02,False
12,True,midday,ToD-ACI,0.9,25.47497717989418,250,202,202,False,0.02,False
12,True,pm_rush,ToD-ACI,0.8538011695906432,28.283205250781272,171,144,144,False,0.02,False
12,True,evening,ToD-ACI,0.9145299145299145,13.680232107398774,117,141,141,False,0.02,False
13,True,night,split-CP,1.0,23.477277777777772,285,177,177,False,0.1,False
13,True,am_rush,split-CP,0.8802083333333334,23.477277777777772,192,96,96,False,0.1,False
13,True,midday,split-CP,0.796,23.477277777777775,250,202,202,False,0.1,False
13,True,pm_rush,split-CP,0.8654970760233918,23.477277777777772,171,144,144,False,0.1,False
13,True,evening,split-CP,1.0,23.477277777777783,117,141,141,False,0.1,False
13,True,night,Mondrian-split-CP,0.8070175438596491,1.0378730158729468,285,177,177,False,0.1,False
13,True,am_rush,Mondrian-split-CP,0.8645833333333334,21.260071428571447,192,96,96,False,0.1,False
13,True,midday,Mondrian-split-CP,0.916,36.112873015872985,250,202,202,False,0.1,False
13,True,pm_rush,Mondrian-split-CP,0.8538011695906432,22.139042328042375,171,144,144,False,0.1,False
