policy,theta,seed,n_requests,n_assigned,assigned_rate,abstention_rate,bad_assignment_rate_of_assigned,bad_assignments_per_request,unserved_or_bad_rate,mean_straight_line_km,p90_straight_line_km,window,n_base,n_slots,excluded,margin_m,anchor
INTERVAL,0.9,17,600,600,1.0,0.0,0.0,0.0,0.0,1.3250074946964814,3.623821333609478,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.9,17,600,600,1.0,0.0,0.0,0.0,0.0,1.2150727777373145,3.385219839571435,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.9,18,600,600,1.0,0.0,0.0,0.0,0.0,1.1860115874511021,3.290858299415125,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.9,18,600,600,1.0,0.0,0.0,0.0,0.0,1.3036651952481362,3.530868996560077,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.9,18,600,600,1.0,0.0,0.0,0.0,0.0,1.2236995722072357,3.334936602433937,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.9,19,600,600,1.0,0.0,0.0,0.0,0.0,1.2592280313061899,3.459833508607637,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.9,19,600,600,1.0,0.0,0.0,0.0,0.0,1.4394510848150877,4.1214635252836285,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.9,19,600,600,1.0,0.0,0.0,0.0,0.0,1.2933278411583233,3.5602796543926827,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.9,20,600,600,1.0,0.0,0.0,0.0,0.0,1.1943244139494746,3.357186116148841,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.9,20,600,600,1.0,0.0,0.0,0.0,0.0,1.3140606267092665,3.7179042885366225,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.9,20,600,600,1.0,0.0,0.0,0.0,0.0,1.2129914024129063,3.4322631482534462,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.925,1,600,600,1.0,0.0,0.006666666666666667,0.006666666666666667,0.006666666666666667,1.1991829345856189,3.436854281132363,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.925,1,600,600,1.0,0.0,0.0,0.0,0.0,1.2587643576101368,3.483781230961669,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.925,1,600,600,1.0,0.0,0.0,0.0,0.0,1.2206356968592298,3.436854281132363,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.925,2,600,600,1.0,0.0,0.008333333333333333,0.008333333333333333,0.008333333333333333,1.2633218299097932,3.4658846190640187,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.925,2,600,600,1.0,0.0,0.0016666666666666668,0.0016666666666666668,0.0016666666666666668,1.3040409296066942,3.502704943658532,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.925,2,600,600,1.0,0.0,0.0,0.0,0.0,1.2913779831782783,3.502704943658532,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.925,3,600,600,1.0,0.0,0.008333333333333333,0.008333333333333333,0.008333333333333333,1.0606899870191997,2.774431852266768,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.925,3,600,600,1.0,0.0,0.0,0.0,0.0,1.075500759798789,2.774431852266768,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.925,3,600,600,1.0,0.0,0.0,0.0,0.0,1.0726524650340443,2.7782777981709272,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.925,4,600,600,1.0,0.0,0.006666666666666667,0.006666666666666667,0.006666666666666667,1.1613191839624457,3.1869704558280922,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.925,4,600,600,1.0,0.0,0.0,0.0,0.0,1.2300670112180203,3.310944837559502,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.925,4,600,600,1.0,0.0,0.0,0.0,0.0,1.1979566727849964,3.1979463541675686,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.925,5,600,600,1.0,0.0,0.005,0.005,0.005,1.1118064814378108,3.0654944943190783,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.925,5,600,600,1.0,0.0,0.0,0.0,0.0,1.1615356001586168,3.160869886130808,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.925,5,600,600,1.0,0.0,0.0,0.0,0.0,1.1498207823748468,3.145871285820436,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.925,6,600,600,1.0,0.0,0.005,0.005,0.005,1.1386560056173964,3.180790635981964,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.925,6,600,600,1.0,0.0,0.0,0.0,0.0,1.1820581837106428,3.224232094369759,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.925,6,600,600,1.0,0.0,0.0,0.0,0.0,1.1595969835376245,3.205710279270299,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.925,7,600,600,1.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,1.174965875666727,3.406752579476466,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.925,7,600,600,1.0,0.0,0.0,0.0,0.0,1.2227827790119499,3.46928934081899,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.925,7,600,600,1.0,0.0,0.0,0.0,0.0,1.201980844849427,3.406752579476466,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.925,8,600,600,1.0,0.0,0.005,0.005,0.005,1.1157516140634045,3.0619050787431017,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.925,8,600,600,1.0,0.0,0.0,0.0,0.0,1.1685237626259852,3.185566279268633,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.925,8,600,600,1.0,0.0,0.0,0.0,0.0,1.1343764500735165,3.0619050787431017,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.925,9,600,600,1.0,0.0,0.006666666666666667,0.006666666666666667,0.006666666666666667,1.1509115659558877,3.093121734262127,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.925,9,600,600,1.0,0.0,0.0,0.0,0.0,1.1983968898942081,3.205018297314715,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.925,9,600,600,1.0,0.0,0.0,0.0,0.0,1.1648092532515768,3.122796918361375,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.925,10,600,600,1.0,0.0,0.005,0.005,0.005,1.1231141420633894,3.225659352434123,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.925,10,600,600,1.0,0.0,0.0,0.0,0.0,1.1646299047740183,3.2694913454544507,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.925,10,600,600,1.0,0.0,0.0,0.0,0.0,1.1421634331426576,3.225659352434123,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.925,11,600,600,1.0,0.0,0.006666666666666667,0.006666666666666667,0.006666666666666667,1.0779706424619306,3.001524328028031,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.925,11,600,600,1.0,0.0,0.0,0.0,0.0,1.115853959236365,3.061388016757527,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.925,11,600,600,1.0,0.0,0.0,0.0,0.0,1.09927537374818,3.0457898386315807,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.925,12,600,600,1.0,0.0,0.008333333333333333,0.008333333333333333,0.008333333333333333,1.199147721955959,3.3618548489984335,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.925,12,600,600,1.0,0.0,0.0,0.0,0.0,1.2423286792081103,3.4778745652455423,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.925,12,600,600,1.0,0.0,0.0,0.0,0.0,1.2036631135737337,3.3618548489984335,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.925,13,600,600,1.0,0.0,0.011666666666666667,0.011666666666666667,0.011666666666666667,1.1654740248586484,3.1472534038614697,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.925,13,600,600,1.0,0.0,0.0016666666666666668,0.0016666666666666668,0.0016666666666666668,1.2251454681230642,3.3660707438404853,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.925,13,600,600,1.0,0.0,0.0,0.0,0.0,1.1783979542609893,3.2317103092852504,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.925,14,600,600,1.0,0.0,0.01,0.01,0.01,1.2488493272717074,3.4941224299345834,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.925,14,600,600,1.0,0.0,0.0016666666666666668,0.0016666666666666668,0.0016666666666666668,1.2989436018949716,3.5418636295269845,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.925,14,600,600,1.0,0.0,0.0,0.0,0.0,1.2796635274296233,3.514643383905148,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.925,15,600,600,1.0,0.0,0.006666666666666667,0.006666666666666667,0.006666666666666667,1.1249008271538405,3.1750439756633124,weekday,20,167,8,9.777785844442262,9;12;7;13
